x,y,label
21.13,19.62,2
24.07,27.19,2
31.17,25.76,2
21.51,24.57,2
40.01,21.46,0
21.05,27.39,2
18.32,19.61,2
21.52,14.52,2
26.69,26.2,2
28.56,26.77,2
22.1,22.96,2
37.7,28.59,2
32.08,22.66,2
22.93,24.41,2
23.04,19.97,2
27.23,27.83,2
16.07,26.0,2
25.67,28.13,2
23.98,26.06,2
25.28,25.42,2
29.41,18.83,2
16.46,28.74,2
24.62,20.56,2
30.24,27.01,2
27.88,27.57,2
27.93,30.63,2
31.86,16.79,2
23.06,31.96,2
21.27,25.45,2
35.28,22.9,2
27.46,19.82,2
23.71,36.61,2
16.74,28.37,2
16.11,25.62,2
25.38,33.96,2
26.43,22.31,2
27.38,22.16,2
19.48,25.34,2
26.4,24.0,2
23.34,25.2,2
21.87,26.6,2
20.23,29.09,2
24.52,24.14,2
18.35,26.06,2
31.2,22.67,2
29.28,15.39,2
25.3,25.07,2
24.33,34.37,2
31.98,26.35,2
31.12,19.48,2
18.61,17.68,2
17.04,27.92,2
18.47,21.34,2
22.75,26.68,2
28.01,31.23,2
20.07,28.07,2
18.4,26.3,2
24.61,37.15,2
27.13,14.08,2
28.87,21.56,2
18.24,27.99,2
24.99,27.8,2
27.73,22.99,2
21.54,22.59,2
26.07,21.84,2
25.61,37.5,2
24.86,21.0,2
23.28,29.37,2
20.42,35.35,2
24.83,26.22,2
26.0,30.49,2
21.55,24.92,2
25.44,27.24,2
24.25,27.44,2
23.2,28.27,2
33.61,29.3,2
28.5,26.53,2
35.65,27.19,2
22.11,28.88,2
29.5,17.49,2
24.02,22.54,2
25.89,32.56,2
25.85,29.31,2
21.74,29.75,2
19.67,25.58,2
25.06,25.8,2
22.51,31.05,2
23.06,29.89,2
14.24,27.65,2
28.97,27.11,2
32.68,19.0,2
21.52,26.28,2
22.95,17.44,2
21.05,24.5,2
27.94,22.63,2
20.5,21.97,2
25.91,22.55,2
25.09,24.62,2
25.09,22.05,2
39.73,19.76,0
51.45,65.18,1
60.71,63.56,1
51.06,63.39,1
54.77,49.26,1
67.51,55.04,1
57.22,67.93,1
49.75,60.58,1
47.96,68.86,1
44.46,56.09,1
54.51,66.12,1
66.68,60.59,1
56.28,61.93,1
55.91,54.08,1
52.76,56.67,1
56.53,57.24,1
59.1,59.58,1
54.63,61.45,1
61.94,53.04,1
52.37,61.05,1
55.29,61.77,1
59.12,61.11,1
51.08,61.36,1
57.43,57.65,1
52.91,61.0,1
65.2,63.91,1
57.43,54.42,1
50.9,57.58,1
39.56,65.84,1
58.09,62.99,1
55.34,56.1,1
54.09,56.82,1
65.16,66.8,1
50.93,53.13,1
57.64,69.57,1
64.13,60.61,1
59.3,61.93,1
47.02,57.58,1
53.34,66.76,1
53.77,57.5,1
57.27,63.87,1
53.52,62.94,1
61.04,61.61,1
50.98,62.48,1
64.38,64.16,1
47.45,58.57,1
58.3,55.71,1
51.71,58.1,1
54.03,56.38,1
49.86,55.84,1
57.19,60.18,1
56.05,55.35,1
55.47,64.04,1
54.49,52.79,1
56.55,58.17,1
60.09,59.25,1
58.29,60.6,1
57.19,56.61,1
63.64,60.06,1
52.77,60.13,1
59.16,62.41,1
49.26,59.19,1
54.97,66.15,1
59.99,61.33,1
47.34,65.43,1
51.4,57.28,1
59.77,60.48,1
42.72,51.14,1
51.45,68.14,1
55.68,49.32,1
54.1,57.54,1
55.87,60.24,1
52.81,53.07,1
55.23,63.85,1
60.43,51.46,1
59.38,65.57,1
55.86,61.54,1
47.39,62.65,1
59.18,61.02,1
